Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
必,hitsuヒツ,kanara(zu)かなら(ず),"invariably, certain, inevitable",N3
応,ouオウ,kota(eru)こた(える),"apply, answer, yes, OK, reply, accept",N1
演,enエン,,"performance, act, play, render, stage",N3
電,denデン,,electricity; electric powered,N5
歳,"sai, seiサイ、セイ",,"age, year-end",N3
,,,,
住,"juu, chuuジュウ、 チュウ",su(mu)す(む),"dwell, reside, live, inhabit",N4
争,souソウ,araso(u)あらそ(う),"contend, dispute, argue",N3
談,danダン,,"discuss, talk",N3
能,nouノウ,ata(u)あた(う),"ability, talent, skill, capacity",N3
無,"mu, buム、 ブ",na(i)な(い),"nothingness, none, ain't, nothing, nil, not",N4
再,"sai, saサイ、 サ",futata(bi)ふたた(び),"again, twice, second time",N2
位,iイ,"kurai, guraiくらい、 ぐらい","rank, grade, about",N3
置,chiチ,o(ku)お(く),"placement, put, set, deposit, leave behind",N3
企,kiキ,"kuwada(teru), takura(mu)くわだ(てる)、 たくら(む)","undertake, scheme, design, attempt, plan",N1
真,shinシン,"ma, makotoま、 まこと","true, reality, Buddhist sect",N4
流,"ryuu, ruリュウ、ル",naga(reru)なが(れる),"current, flow",N3
格,"kaku, kou, kyakuカク、コウ、キャク",,"status, rank, capacity",N3
有,"yuu, uユウ、 ウ",a(ru)あ(る),"possess, have, exist, happen",N4
疑,giギ,utaga(u)うたが(う),"doubt, distrust",N3
口,kouコウ,kuchiくち,mouth,N4
過,kaカ,"su(giru), yogi(ru)す(ぎる)、よぎ(る)","overdo, exceed, go beyond",N3
局,kyokuキョク,,"bureau, board, office",N3
少,shouショウ,"suku(nai), suko(shi)すく(ない)、 すこ(し)","few, little",N4
放,houホウ,"hana(su), hou(ru)はな(す)、ほう(る)","set free, release",N3
税,zeiゼイ,,tax; duty,N2
検,kenケン,shira(beru)しら(べる),"examination, investigate",N1
藤,touトウ,fujiふじ,wisteria,N1
町,chouチョウ,machiまち,"town, village, block, street",N4
常,jouジョウ,tsuneつね,"usual, ordinary, normal",N3
校,kouコウ,,"school, exam",N5
料,ryouリョウ,,"fee, materials",N4
沢,takuタク,sawaさわ,"swamp, marsh, brilliance, grace",N1
,,,,
裁,saiサイ,"ta(tsu), saba(ku)た(つ)、 さば(く)","tailor, judge, decision, cut out (pattern)",N1
状,jouジョウ,,"conditions, form, appearance",N3
工,"kou, ku, guコウ、 ク、 グ",,"craft, construction",N4
,,,,
建,"ken, konケン、 コン",ta(teru)た(てる),build,N4
語,goゴ,kata(ru)かた(る),"word, speech, language",N5
球,kyuuキュウ,tamaたま,"ball, sphere",N3
営,eiエイ,itona(mu)いとな(む),occupation; camp; perform; build; conduct (business),N2
空,kuuクウ,"sora, kara, a(ku), su(ku), muna(shii)そら、 から、 あ(く)、 す(く)、 むな(しい)","empty, sky, void, vacant, vacuum",N4
職,shokuショク,,"post, employment, work",N3
証,shouショウ,akashiあかし,"evidence, proof, certificate",N1
土,"do, toド、 ト",tsuchiつち,"soil, earth, ground",N5
与,yoヨ,"ata(eru), azuka(ru)あた(える)、 あずか(る)","give, award",N3
急,kyuuキュウ,iso(gu)いそ(ぐ),"hurry, emergency, sudden, steep",N4
止,shiシ,"to(maru), todo(maru), ya(meru), yo(su)と(まる)、 とど(まる)、 や(める)、 よ(す)","stop, halt",N4
送,souソウ,oku(ru)おく(る),"escort, send",N4
援,enエン,,"abet, help, save",N1
供,"kyou, ku, kuuキョウ、ク、クウ","sona(eru), tomoそな(える)、とも","submit, offer, present, accompany",N3
可,kaカ,be(ki)べ(き),"can, passable, mustn't, should not",N1
役,"yaku, ekiヤク、エキ",,"duty, service, role",N3
構,kouコウ,kama(u)かま(う),"posture, build, pretend",N3
木,"boku, mokuボク、 モク","ki, koき、 こ-","tree, wood",N5
割,katsuカツ,"wa(ru), wariわ(る)、わり","proportion, divide, cut, separate",N3
聞,"bun, monブン、 モン",ki(ku)き(く),to hear; to listen; to ask,N5
身,shinシン,miみ,"somebody, person",N3
費,hiヒ,tsui(yasu)つい(やす),"expense, consume",N3
付,fuフ,tsu(keru)つ(ける),"adhere, attach, refer to, append",N3
施,"shi, seシ、 セ",hodoko(su)ほどこ(す),"give, bestow, perform, alms",N1
切,"setsu, saiセツ、 サイ",ki(ru)き(る),"cut, cutoff, be sharp",N4
由,"yu, yuuユ、ユウ","yoshi, yo(ru)よし、よ(る)","wherefore, a reason",N3
説,"setsu, zeiセツ、 ゼイ",to(ku)と(く),"opinion, theory, explanation",N3
転,tenテン,koro(garu)ころ(がる),"revolve, turn around, change",N4
食,"shoku, jikiショク、 ジキ","k(u), ta(beru), ha(mu)く(う)、 た(べる)、 は(む)","eat, food",N5
比,hiヒ,kura(beru)くら(べる),compare; race; ratio,N2
,,,,
難,nanナン,"kata(i), muzuka(shii), niku(i)かた(い)、むずか(しい)、 にく(い)","difficult, trouble, accident",N3
防,bouボウ,fuse(gu)ふせ(ぐ),ward off; defend; protect; resist,N2
補,hoホ,ogina(u)おぎな(う),supplement; supply; offset; compensate,N2
車,shaシャ,kurumaくるま,"car, wheel",N5
優,"yuu, uユウ、ウ","yasa(shii), sugu(reru)やさ(しい)、すぐ(れる)","tenderness, kind, actor",N3
夫,"fu, fuuフ、フウ",ottoおっと,"husband, man",N3
研,kenケン,to(gu)と(ぐ),"polish, study of, sharpen",N4
収,shuuシュウ,osa(meru)おさ(める),"income, obtain, reap, pay, supply, store",N3
断,danダン,"ta(tsu), kotowa(ru)た(つ)、 ことわ(る)","severance, decline, refuse, apologize",N3
井,"sei, shouセイ、 ショウ",iい,"well, well crib, town, community",N1
何,kaカ,"nani, nanなに、 なん",what,N5
南,"nan, naナン、 ナ",minamiみなみ,south,N5
石,"seki, shaku, kokuセキ、シャク、コク",ishiいし,stone,N3
足,sokuソク,"ashi, ta(riru)あし、 た(りる)","leg, foot, be sufficient",N4
違,iイ,"chiga(u), taga(u)ちが(う)、たが(う)","difference, differ",N3
消,shouショウ,"ki(eru), ke(su)き(える)、け(す)","extinguish, turn off",N3
境,kyouキョウ,sakaiさかい,"boundary, border, region",N2
神,"shin, jinシン、 ジン",kamiかみ,"gods, mind, soul",N3
番,banバン,tsugaiつが(い),"turn, number in a series",N3
規,kiキ,,"standard, measure",N3
,,,,
術,jutsuジュツ,subeすべ,"art, technique, skill, means, trick",N3
護,goゴ,mamo(ru)まも(る),"safeguard, protect",N1
展,tenテン,,"unfold, expand",N1
態,taiタイ,waza(to)わざ(と),"attitude, condition",N1
導,douドウ,michibi(ku)みちび(く),guidance; leading; conduct; usher,N2
鮮,senセン,aza(yaka)あざ(やか),"fresh, vivid, clear",N1
備,biビ,sona(eru)そな(える),"equip, provision, preparation",N3
宅,takuタク,,"home, house, residence",N3
害,gaiガイ,,"harm, injury",N3
配,haiハイ,kuba(ru)くば(る),"distribute, spouse",N3
,,,,
副,fukuフク,,vice-; assistant; aide; duplicate; copy,N2
算,sanサン,soroそろ,calculate; divining; number; probability,N2
視,shiシ,mi(ru)み(る),"inspection, regard as, see, look at",N1
条,jouジョウ,,"article, clause, counter for articles",N1
幹,kanカン,mikiみき,"tree trunk, main part, talent, capability",N1
独,dokuドク,hito(ri)ひと(り),"single, alone, spontaneously",N1
警,keiケイ,,"admonish, commandment",N3
宮,"kyuu, guu, kuキュウ、 グウ、 ク",miyaみや,"Shinto shrine, constellations, palace, princess",N1
究,kyuuキュウ,,"research, study",N4
育,ikuイク,"soda(tsu), haguku(mu)そだ(つ)、はぐく(む)","bring up, grow up, raise",N3
席,sekiセキ,mushiroむしろ,seat,N3
輸,"yu, shuユ、 シュ",,"transport, send, be inferior",N2
訪,houホウ,"toozu(reru), tazu(neru)おとず(れる)、たず(ねる)","call on, visit",N3
楽,"gaku, rakuガク、 ラク",tano(shii)たの(しい),"music, comfort, ease",N4
起,kiキ,"o(kiru), oko(su)お(きる)、 おこ(す)","wake up, get up; rouse",N4
万,"man, banマン、 バン",,"ten thousand, 10,000",N5
着,chakuチャク,"ki(ru), tsu(ku)き(る)、つ(く)","arrive, wear, counter for suits of clothing",N4
乗,"jou, shouジョウ、 ショウ",no(ru)の(る),ride,N3
店,tenテン,miseみせ,"store, shop",N4
述,jutsuジュツ,no(beru)の(べる),mention; state; speak,N2
残,zanザン,noko(ru)のこ(る),"remainder, balance",N3
想,"sou, soソウ、ソ",omo(u)おも(う),"concept, think, idea",N3
線,senセン,sujiすじ,line; track,N2
率,"sotsu, ritsuソツ、 リツ",hiki(iru)ひき(いる),"ratio, rate, proportion, %, factor, lead",N1
病,byouビョウ,ya(mu)や(む),"ill, sick",N4
農,nouノウ,,agriculture; farmers,N2
州,shuuシュウ,suす,state; province,N2
武,"bu, muブ、 ム",take(shi)たけ(し),warrior; military; chivalry; arms,N2
声,"sei, shouセイ、ショウ",koeこえ,voice,N3
質,"shitsu, shichiシツ、 シチ","tachi, tada(su)たち、 ただ(す)","substance, quality, matter, temperament",N4
,,,,
