Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
187,反,hanハン,so(ru)そ(る),anti-,N3
188,元,"gen, ganゲン、 ガン",motoもと,"beginning, former time, origin",N4
189,重,"juu, chouジュウ、 チョウ","omo(i), kasa(neru)おも(い)、 かさ(ねる)","heavy, important, esteem, respect",N4
190,近,kinキン,chika(i)ちか(い),"near, early, akin, tantamount",N4
191,千,senセン,chiち,thousand,N5
192,考,kouコウ,kanga(eru)かんが(える),"consider, think over",N4
193,判,hanハン,,"judgement, signature",N3
194,認,ninニン,"mito(meru), shitata(meru)みと(める)、したた(める)","acknowledge, witness, recognize",N3
195,画,"ga, kakuガ、 カク",kaku(suru)かく(する),"brush-stroke, picture",N4
196,海,kaiカイ,umiうみ,"sea, ocean",N4
197,参,sanサン,mai(ru)まい(る),"going, coming, participate",N3
198,売,baiバイ,u(ru)う(る),sell,N4
199,利,riリ,ki(ku)き(く),"profit, advantage, benefit",N3
200,組,soソ,"ku(mu), kumiく(む)、くみ","association, assemble, unite",N3
201,知,chiチ,shi(ru)し(る),"know, wisdom",N4
202,案,anアン,tsukueつくえ,"plan, suggestion, draft",N2
203,道,douドウ,michiみち,"road-way, street, district, journey, course",N4
204,信,shinシン,,"faith, truth, trust",N3
205,策,sakuサク,,"scheme, plan, policy",N2
206,,,,,
207,集,shuuシュウ,atsu(meru)あつ(める),"gather, meet",N4
208,在,zaiザイ,a(ru)あ(る),"exist, outskirts",N3
209,件,kenケン,kudanくだん,"affair, case, matter",N3
210,団,"dan, tonダン、トン","katamari, maru(i)かたまり、 まる(い)","group, association",N2
211,別,betsuベツ,"waka(reru), wa(keru)わか(れる)、 わ(ける)","separate, branch off, diverge",N4
212,物,"butsu, motsuブツ、 モツ",monoもの,"thing, object, matter",N4
213,側,sokuソク,"gawa, sobaがわ、そば","side, lean, oppose",N3
214,任,ninニン,maka(seru)まか(せる),"responsibility, duty",N3
215,引,inイン,hi(ku)ひ(く),"pull, tug, jerk",N3
216,使,shiシ,tsuka(u)つか(う),"use, order, messenger, ambassador",N4
217,求,kyuuキュウ,moto(meru)もと(める),"request, want, demand",N3
218,所,shoショ,tokoroところ,"place, extent",N3
219,次,"ji, shiジ、シ","tsu(gu), tsugiつ(ぐ)、つぎ","next, order",N3
220,水,suiスイ,mizuみず,water,N5
221,半,hanハン,naka(ba)なか(ば),"half, middle, odd number, semi-",N5
222,昨,sakuサク,,"yesterday, previous",N3
223,論,ronロン,agetsura(u)あげつら(う),"argument, discourse",N3
224,計,keiケイ,haka(ru)はか(る),"plot, plan, scheme, measure",N4
225,死,shiシ,shi(nu)し(ぬ),"death, die",N4
226,官,kanカン,,"bureaucrat, the government, organ",N3
227,増,zouゾウ,"ma(su), fu(eru)ま(す)、 ふ(える)","increase, add",N3
228,係,keiケイ,"kaka(ru), kakariかか(る)、かかり","person in charge, connection",N3
229,感,kanカン,,"emotion, feeling, sensation",N3
230,特,tokuトク,,special,N4
231,情,"jou, seiジョウ、セイ",nasa(ke)なさ(け),"feelings, emotion, passion",N3
232,投,touトウ,na(geru)な(げる),"throw, discard",N3
233,示,"ji, shiジ、シ",shime(su)しめ(す),"show, indicate, display",N3
234,変,henヘン,ka(waru)か(わる),"unusual, change, strange",N3
235,打,daダ,"u(tsu), bu(tsu)う(つ)、ぶ(つ)","strike, hit, knock",N3
236,,,,,
237,基,kiキ,"moto, motoiもと、 もとい","fundamentals, counter for machines, foundation",N1
238,私,shiシ,"watakushi, watashiわたくし、 わたし","private, I, me",N4
239,各,kakuカク,onoonoおのおの,each; every; either,N2
240,始,shiシ,haji(meru)はじ(める),"commence, begin",N4
241,島,touトウ,shimaしま,island,N2
242,直,"choku, jikiチョク、 ジキ","tada(chini), su(gu)ただ(ちに)、 す(ぐ)","straightaway, honesty, frankness, fix, repair",N3
243,両,ryouリョウ,,both,N3
244,朝,chouチョウ,asaあさ,morning,N4
245,,,,,
246,革,kakuカク,kawaかわ,leather; skin; reform; become serious,N2
247,価,kaカ,ataiあたい,"value, price",N1
248,式,shikiシキ,,"style, ceremony",N3
249,確,kakuカク,tashi(ka)たし(か),"assurance, firm, confirm",N3
250,村,sonソン,muraむら,village; town,N2
251,提,teiテイ,sa(geru)さ(げる),"propose, take along, carry in hand",N1
252,運,unウン,hako(bu)はこ(ぶ),"carry, luck, destiny, fate, transport",N4
253,終,shuuシュウ,o(waru)お(わる),"end, finish",N4
254,挙,kyoキョ,"a(geru), kozo(ru)あ(げる)、 こぞ(る)","raise, plan, project, behavior, actions",N1
255,果,kaカ,ha(tasu)は(たす),"fruit, reward, carry out, achieve, complete",N3
256,西,"sei, saiセイ、 サイ",nishiにし,west,N5
258,減,genゲン,he(ru)へ(る),dwindle; decrease; reduce,N2
259,台,"dai, taiダイ、 タイ",utenaうてな,"pedestal, a stand, counter for machines and vehicles",N4
260,広,kouコウ,hiro(i)ひろ(い),"wide, broad, spacious",N4
261,容,youヨウ,,"contain, form",N3
262,必,hitsuヒツ,kanara(zu)かなら(ず),"invariably, certain, inevitable",N3
263,応,ouオウ,kota(eru)こた(える),"apply, answer, yes, OK, reply, accept",N1
264,演,enエン,,"performance, act, play, render, stage",N3
265,電,denデン,,electricity; electric powered,N5
266,歳,"sai, seiサイ、セイ",,"age, year-end",N3
267,,,,,
268,住,"juu, chuuジュウ、 チュウ",su(mu)す(む),"dwell, reside, live, inhabit",N4
269,争,souソウ,araso(u)あらそ(う),"contend, dispute, argue",N3
270,談,danダン,,"discuss, talk",N3
271,能,nouノウ,ata(u)あた(う),"ability, talent, skill, capacity",N3
272,無,"mu, buム、 ブ",na(i)な(い),"nothingness, none, ain't, nothing, nil, not",N4
273,再,"sai, saサイ、 サ",futata(bi)ふたた(び),"again, twice, second time",N2
274,位,iイ,"kurai, guraiくらい、 ぐらい","rank, grade, about",N3
275,置,chiチ,o(ku)お(く),"placement, put, set, deposit, leave behind",N3
